,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
48,0.07958562,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818
49,0.07985844,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793
50,0.072959974,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793,0.07720818
51,0.07292101,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793,0.07720818,0.07331075
52,0.07334972,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793,0.07720818,0.07331075,0.07331075
53,0.08617228,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793,0.07720818,0.07331075,0.07331075,0.072959974
54,0.0794687,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793,0.07720818,0.07331075,0.07331075,0.072959974,0.111817405
55,0.07997536,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793,0.07720818,0.07331075,0.07331075,0.072959974,0.111817405,0.07806562
56,0.079546645,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793,0.07720818,0.07331075,0.07331075,0.072959974,0.111817405,0.07806562,0.0779487
57,0.070972286,0.070972286,0.090420485,0.112324074,0.079546645,0.07958562,0.0794687,0.07529844,0.07522049,0.07568818,0.07958562,0.07284305,0.07334972,0.09279792,0.07720818,0.07759793,0.07720818,0.07331075,0.07331075,0.072959974,0.111817405,0.07806562,0.0779487,0.07833844
